price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,price_kbb,mpg,rating,year_kbb
7500.0,2012.0,dodge,charger,good,8 cylinders,gas,112000.0,salvage,automatic,rwd,full-size,sedan,grey,31490.0,23.0,3.6 / 5,2021.0
5495.0,2008.0,honda,civic,good,4 cylinders,gas,93200.0,clean,automatic,fwd,compact,coupe,blue,22005.0,33.0,4.6 / 5,2021.0
2500.0,2001.0,subaru,forester,good,4 cylinders,gas,163354.0,clean,automatic,4wd,mid-size,hatchback,grey,25845.0,29.0,4.5 / 5,2021.0
10400.0,2013.0,ford,fusion,like new,4 cylinders,gas,48454.0,clean,automatic,fwd,full-size,sedan,white,24365.0,24.0,4.1 / 5,2020.0
31999.0,1967.0,chevrolet,malibu,like new,8 cylinders,gas,11209.0,clean,automatic,rwd,full-size,coupe,blue,22970.0,32.0,4.1 / 5,2020.0
9995.0,2008.0,ford,mustang,excellent,6 cylinders,gas,109039.0,clean,automatic,rwd,sub-compact,coupe,red,27765.0,24.0,4.6 / 5,2020.0
49995.0,2019.0,chevrolet,tahoe,excellent,8 cylinders,gas,24503.0,clean,automatic,4wd,full-size,SUV,white,50295.0,18.0,4.7 / 5,2021.0
11000.0,2016.0,kia,optima,excellent,4 cylinders,gas,68000.0,clean,automatic,fwd,mid-size,sedan,silver,24355.0,27.0,4.4 / 5,2020.0
2500.0,2000.0,chevrolet,suburban,good,8 cylinders,gas,185661.0,clean,automatic,4wd,full-size,SUV,brown,52995.0,18.0,4.6 / 5,2021.0
6995.0,2011.0,subaru,impreza,good,4 cylinders,gas,133964.0,clean,automatic,4wd,mid-size,hatchback,blue,19720.0,26.0,4.2 / 5,2021.0
20000.0,2011.0,chevrolet,camaro,excellent,8 cylinders,gas,111360.0,clean,automatic,rwd,full-size,coupe,yellow,25995.0,23.0,4.3 / 5,2020.0
4200.0,2003.0,ford,mustang,good,6 cylinders,gas,108000.0,clean,automatic,rwd,mid-size,convertible,black,27765.0,24.0,4.6 / 5,2020.0
0.0,2010.0,honda,ridgeline,excellent,6 cylinders,gas,144602.0,clean,automatic,4wd,full-size,truck,blue,35020.0,22.0,4.3 / 5,2020.0
12000.0,2006.0,subaru,wrx,good,4 cylinders,gas,121567.0,clean,manual,4wd,sub-compact,hatchback,silver,28519.0,23.0,4.3 / 5,2020.0
8350.0,2016.0,kia,forte,excellent,4 cylinders,gas,105104.0,clean,automatic,fwd,mid-size,sedan,black,18855.0,31.0,4.5 / 5,2021.0
14000.0,2016.0,subaru,forester,excellent,4 cylinders,gas,38000.0,salvage,automatic,4wd,full-size,SUV,blue,25845.0,29.0,4.5 / 5,2021.0
2750.0,2006.0,kia,rio,good,4 cylinders,gas,129450.0,clean,automatic,fwd,compact,sedan,black,16815.0,36.0,4.3 / 5,2020.0
2750.0,1998.0,subaru,forester,good,4 cylinders,gas,216620.0,clean,manual,4wd,mid-size,wagon,black,25845.0,29.0,4.5 / 5,2021.0
2850.0,2003.0,ford,escape,good,4 cylinders,gas,97475.0,clean,manual,fwd,mid-size,SUV,white,26080.0,30.0,4.3 / 5,2020.0
15000.0,1959.0,volkswagen,beetle,excellent,4 cylinders,gas,260000.0,clean,manual,rwd,compact,sedan,white,23940.0,29.0,3.6 / 5,2019.0
9499.0,2008.0,acura,mdx,like new,6 cylinders,gas,155000.0,clean,automatic,4wd,mid-size,SUV,black,45525.0,23.0,4.6 / 5,2020.0
8299.0,2013.0,chevrolet,cruze,like new,4 cylinders,gas,80000.0,rebuilt,automatic,fwd,compact,sedan,white,18870.0,33.0,4.2 / 5,2019.0
16995.0,2017.0,nissan,altima,excellent,4 cylinders,gas,69802.0,clean,automatic,fwd,mid-size,sedan,black,25225.0,32.0,4.3 / 5,2021.0
