price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,price_kbb,mpg,rating,year_kbb,year_difference,new_price,depreciation,depreciation per year
9900.0,2016,buick,encore,excellent,4,gas,44000.0,salvage,automatic,4wd,mid-size,SUV,red,24195.0,Low mpg (20 - 30),3.9,2021,5,21914.157,0.5482372422539457,0.14693507599526745
6495.0,2013,hyundai,veloster,excellent,4,gas,110004.0,clean,manual,fwd,mid-size,hatchback,blue,19775.0,Low mpg (20 - 30),4.4,2020,7,17215.328,0.6227199388823728,0.1299916763350064
7700.0,2010,nissan,maxima,excellent,6,gas,134000.0,clean,automatic,fwd,full-size,sedan,silver,35375.0,Low mpg (20 - 30),3.9,2020,10,29019.821,0.7346641111259784,0.12425110181296706
4900.0,2008,chevrolet,impala,excellent,6,gas,165000.0,clean,automatic,fwd,full-size,sedan,grey,32495.0,Low mpg (20 - 30),4.0,2020,12,25622.086,0.8087587404085679,0.12877205003574477
2500.0,2005,honda,civic,excellent,4,gas,158000.0,clean,automatic,fwd,mid-size,coupe,red,22005.0,Medium mpg (30 - 40),4.6,2021,16,16029.45,0.844037069269376,0.10964369859981837
9500.0,2014,nissan,murano,good,6,gas,145750.0,clean,automatic,4wd,full-size,SUV,blue,32825.0,Low mpg (20 - 30),4.1,2020,6,29147.661,0.6740733330197576,0.17042946941716908
11500.0,2013,hyundai,elantra,like new,4,gas,55000.0,clean,automatic,fwd,mid-size,sedan,grey,20645.0,Medium mpg (30 - 40),4.8,2021,8,17620.309,0.34734402217350446,0.051940618745179856
15995.0,2014,cadillac,ats,excellent,4,gas,89000.0,clean,automatic,4wd,compact,sedan,grey,39990.0,Low mpg (20 - 30),4.0,2019,5,36220.175,0.5583952866047721,0.15080634602439824
900.0,2006,chevrolet,impala,fair,6,gas,189600.0,clean,automatic,fwd,full-size,sedan,red,32495.0,Low mpg (20 - 30),4.0,2020,14,24627.149,0.9634549658996256,0.21051318081429948
11000.0,2010,subaru,forester,excellent,4,gas,28418.0,salvage,manual,fwd,compact,wagon,silver,25845.0,Low mpg (20 - 30),4.0,2021,11,20786.178,0.4708021840282518,0.05621218156506158
6950.0,2014,volkswagen,jetta,like new,4,gas,70000.0,rebuilt,automatic,fwd,mid-size,sedan,black,19815.0,Medium mpg (30 - 40),4.4,2020,6,17595.153,0.6050048555985844,0.14342520137320314
3995.0,2004,audi,a4,good,4,gas,135941.0,clean,automatic,4wd,compact,sedan,red,38395.0,Low mpg (20 - 30),4.7,2020,16,27968.677,0.8571616383570807,0.11452194231019464
8350.0,2008,chevrolet,suburban,excellent,8,gas,227500.0,clean,automatic,4wd,full-size,SUV,black,52995.0,,4.6,2021,13,40966.859,0.7961767095690689,0.11515810421281014
4999.0,2014,volkswagen,jetta,excellent,4,gas,92000.0,rebuilt,automatic,fwd,compact,sedan,white,19815.0,Medium mpg (30 - 40),4.4,2020,6,17595.153,0.7158876651996149,0.1891976199648261
5499.0,2014,volkswagen,jetta sportwagen,excellent,5,gas,91000.0,rebuilt,automatic,fwd,mid-size,wagon,silver,31565.0,Low mpg (20 - 30),4.0,2020,6,28028.817,0.8038090583701767,0.23772239884666624
6800.0,2016,chevrolet,cruze,like new,4,gas,19000.0,clean,automatic,fwd,mid-size,sedan,blue,18870.0,Medium mpg (30 - 40),4.2,2019,3,17781.622,0.6175826929624305,0.27415172960545675
12500.0,2015,kia,sorento,good,4,gas,97185.0,clean,automatic,rwd,full-size,SUV,silver,30560.0,Low mpg (20 - 30),4.7,2021,6,27136.405,0.5393641862287948,0.12119412801203544
17950.0,2017,chevrolet,traverse,good,6,gas,47769.0,clean,automatic,fwd,mid-size,SUV,blue,30995.0,Low mpg (20 - 30),4.3,2021,4,28634.589,0.3731357555018513,0.11019800580098715
8300.0,2017,nissan,versa,like new,4,gas,55000.0,clean,automatic,fwd,full-size,sedan,brown,15755.0,Low mpg (20 - 30),4.2,2020,3,14846.288,0.4409376943246689,0.17620325727924446
4900.0,2009,honda,cr-v,good,4,gas,153000.0,clean,automatic,fwd,mid-size,SUV,custom,26470.0,Low mpg (20 - 30),4.7,2021,12,20871.414,0.7652291310976822,0.11375523275927102
13700.0,2018,dodge,journey,like new,6,gas,33000.0,salvage,automatic,fwd,full-size,SUV,silver,25170.0,Low mpg (20 - 30),2.9,2020,2,24192.618,0.4337115561449364,0.2474786090382124
8450.0,2016,nissan,versa,excellent,4,gas,46069.0,clean,automatic,fwd,sub-compact,sedan,black,15755.0,Low mpg (20 - 30),4.2,2020,4,14555.185,0.41945086922632724,0.12710954449680256
6950.0,2012,ford,fusion,good,4,gas,101301.0,clean,automatic,fwd,mid-size,sedan,green,24365.0,Low mpg (20 - 30),4.1,2020,8,20795.293,0.665789753479309,0.1280281392976086
8950.0,2016,ford,fiesta,good,4,gas,42810.0,clean,automatic,fwd,sub-compact,hatchback,silver,15235.0,Low mpg (20 - 30),4.2,2019,3,14356.281,0.3765794915828131,0.1457328722707678
3750.0,2004,hyundai,santa fe,good,6,gas,149877.0,clean,automatic,fwd,compact,SUV,blue,28025.0,Low mpg (20 - 30),4.7,2021,17,20014.406,0.8126349590390042,0.0938147805102888
4200.0,2001,chevrolet,tahoe,good,8,gas,178845.0,clean,automatic,4wd,full-size,SUV,white,50295.0,,4.7,2021,20,33847.093,0.875912534054254,0.09907965226844262
5995.0,2011,ford,escape,excellent,6,gas,158003.0,clean,automatic,4wd,mid-size,SUV,black,26080.0,Low mpg (20 - 30),4.3,2020,9,21822.577,0.7252845069580921,0.13372918388827004
24500.0,2017,nissan,pathfinder,excellent,6,gas,32000.0,clean,other,fwd,full-size,SUV,grey,33075.0,Low mpg (20 - 30),4.1,2020,3,31167.311,0.21391999457380206,0.07709800823417823
6250.0,2005,chevrolet,suburban,excellent,8,gas,253000.0,clean,automatic,4wd,full-size,SUV,black,52995.0,,4.6,2021,16,38603.986,0.838099620075502,0.107562128465576
3750.0,2008,hyundai,tucson,excellent,4,gas,133000.0,clean,manual,fwd,mid-size,SUV,silver,24840.0,Low mpg (20 - 30),4.2,2021,13,19202.128,0.8047091447364584,0.1180640015386405
15987.0,2017,volkswagen,passat,excellent,4,gas,40000.0,clean,automatic,fwd,mid-size,sedan,silver,23915.0,Low mpg (20 - 30),4.1,2020,3,22535.639,0.2905903400387271,0.10813518140719158
7995.0,2012,ford,escape,excellent,4,gas,86000.0,clean,automatic,4wd,mid-size,SUV,silver,26080.0,Low mpg (20 - 30),4.3,2020,8,22259.029,0.6408199117760258,0.12013907363487342
2500.0,2006,ford,taurus,good,4,gas,221000.0,clean,automatic,fwd,mid-size,sedan,blue,28895.0,Low mpg (20 - 30),3.1,2019,13,22336.775,0.8880769493357926,0.1550325786933331
6999.0,1979,volkswagen,beetle,excellent,4,gas,78000.0,clean,manual,rwd,compact,convertible,yellow,23940.0,Low mpg (20 - 30),3.6,2019,40,10842.197,0.35446662701295684,0.010882313734670523
19588.0,2017,hyundai,tucson,good,4,gas,2180.0,clean,automatic,fwd,full-size,SUV,grey,24840.0,Low mpg (20 - 30),4.2,2021,4,22948.32,0.14642989116414618,0.038808770163466066
6995.0,2011,mazda,mazda3,excellent,4,gas,102825.0,clean,manual,fwd,compact,sedan,black,21445.0,Medium mpg (30 - 40),4.4,2021,10,17592.369,0.6023844201994626,0.08810184020625589
10500.0,2013,audi,a4,excellent,4,gas,144000.0,clean,automatic,4wd,mid-size,sedan,blue,38395.0,Low mpg (20 - 30),4.7,2020,7,33425.158,0.6858653592602315,0.15246156073206674
26000.0,2018,chrysler,pacifica,excellent,6,gas,44397.0,clean,automatic,fwd,full-size,mini-van,red,34990.0,Low mpg (20 - 30),4.0,2020,2,33631.296,0.2269105537889471,0.12074494814584491
10500.0,2014,subaru,forester,good,4,gas,127649.0,clean,automatic,4wd,full-size,SUV,silver,25845.0,Low mpg (20 - 30),4.0,2021,7,22499.628,0.5333256176502118,0.10315729439309718
10995.0,2012,ford,edge,good,6,gas,92723.0,clean,automatic,fwd,full-size,SUV,silver,32345.0,Low mpg (20 - 30),3.8,2020,8,27606.146,0.6017191244297556,0.10870046150636459
